feature,component,pct_nan,nunique,is_constant,mean,std,min,max
core_clip__consecutive_cosine_prev__max,core_clip,1.03,259,False,0.9942256588902738,0.0074894089319508216,0.9479353427886963,1.000000238418579
core_clip__consecutive_cosine_prev__mean,core_clip,1.03,288,False,0.9279901954448886,0.04382809896205483,0.7749592065811157,0.9999973773956299
core_clip__consecutive_cosine_prev__min,core_clip,1.03,288,False,0.6331099203477303,0.19270640765133693,0.2072385549545288,0.9999736547470093
core_clip__consecutive_cosine_prev__p50,core_clip,1.03,286,False,0.9498217579805188,0.035976690731773765,0.8114949464797974,1.0
core_clip__consecutive_cosine_prev__p90,core_clip,1.03,283,False,0.9830363252096705,0.013212559983333377,0.9388167858123779,1.0000001192092896
core_clip__consecutive_cosine_prev__std,core_clip,1.03,288,False,0.06701856303624885,0.039886983362150366,6.6569209593581036e-06,0.1776837557554245
core_clip__cut_detection_transition_scores__max,core_clip,1.03,279,False,0.2632493741499881,0.018247678214572887,0.20840826630592346,0.303085595369339
core_clip__cut_detection_transition_scores__mean,core_clip,1.03,288,False,0.20961468014866114,0.013845782028392312,0.16727405786514282,0.2414713352918625
core_clip__cut_detection_transition_scores__min,core_clip,1.03,288,False,0.1554355072374973,0.02042926608576971,0.09082582592964172,0.2007654905319214
core_clip__cut_detection_transition_scores__p50,core_clip,1.03,288,False,0.21018382829303542,0.014176061172203984,0.16997188329696655,0.24385160207748413
core_clip__cut_detection_transition_scores__p90,core_clip,1.03,288,False,0.23288694251742628,0.014301257263743709,0.18711182475090027,0.27020949125289917
core_clip__cut_detection_transition_scores__std,core_clip,1.03,288,False,0.01851640863201788,0.0035586255445671016,0.0065537430346012115,0.028763147071003914
core_clip__frame_embeddings__max,core_clip,1.03,288,False,0.29488450086986023,0.06957514417176837,0.13051678240299225,0.47156286239624023
core_clip__frame_embeddings__mean,core_clip,1.03,288,False,-0.0006646942082749124,0.001116044784272555,-0.0036501449067145586,0.0024871681816875935
core_clip__frame_embeddings__min,core_clip,1.03,269,False,-0.6861643723936545,0.09928952144117156,-0.8405457139015198,-0.23086053133010864
core_clip__frame_embeddings__p50,core_clip,1.03,288,False,0.00013019859686854338,0.000980726634806501,-0.002359266160055995,0.003253921400755644
core_clip__frame_embeddings__p90,core_clip,1.03,288,False,0.04151653103892588,0.003377866923652066,0.03198324516415596,0.05392786115407944
core_clip__frame_embeddings__std,core_clip,1.03,280,False,0.04417512321379036,2.312212487738037e-05,0.044043175876140594,0.04419417679309845
core_clip__places365_topk_indices__max,core_clip,1.03,43,False,351.43402777777777,25.44891354154866,139.0,364.0
core_clip__places365_topk_indices__mean,core_clip,1.03,288,False,173.8235608206855,33.642732190050815,66.33077239990234,268.9058837890625
